rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,3,дѣло,26,139,18.7%
2,4,дрѣво,9,66,13.6%
3,1,люто,1,1,100.0%
4,2,оубожьство,1,5,20.0%
5,5,брашьно,1,22,4.5%
6,6,божьство,1,24,4.2%
