rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,4,господь,125,361,34.6%
2,3,огнь,54,114,47.4%
3,5,людиѥ,7,41,17.1%
4,7,пѫть,7,67,10.4%
5,6,звѣрь,6,46,13.0%
6,1,голѫбь,1,1,100.0%
7,2,гость,1,1,100.0%
