rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,3,дьнь,47,205,22.9%
2,4,камꙑ,7,33,21.2%
3,1,пламꙑ,3,9,33.3%
4,2,корень,2,8,25.0%
5,5,ѥлень,1,8,12.5%
