rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,2,змии,4,16,25.0%
2,1,знои,2,7,28.6%
3,4,врачь,2,14,14.3%
4,3,кесарь,1,4,25.0%
5,5,зълодѣи,1,10,10.0%
6,6,стражь,1,15,6.7%
7,7,моси,1,27,3.7%
8,8,мѫжь,1,138,0.7%
9,9,цѣсарь,1,216,0.5%
