rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,5,лице,2,80,2.5%
2,1,плеще,1,6,16.7%
3,2,оучениѥ,1,25,4.0%
4,3,цѣсарьствиѥ,1,29,3.4%
5,4,морѥ,1,30,3.3%
