rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,3,цръкꙑ,28,103,27.2%
2,1,кръвь,22,59,37.3%
3,2,смокꙑ,11,36,30.6%
4,4,любꙑ,6,39,15.4%
