rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,4,сꙑнъ#1,48,110,43.6%
2,6,даръ,18,76,23.7%
3,5,чинъ,7,21,33.3%
4,7,домъ,6,48,12.5%
5,2,ледъ,3,5,60.0%
6,3,медъ,2,4,50.0%
7,1,връхъ,1,1,100.0%
