rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,3,слово,56,290,19.3%
2,2,тѣло,44,147,29.9%
3,1,коло,3,5,60.0%
4,4,чоудо,1,104,1.0%
5,5,небо,1,124,0.8%
