rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,6,дѣлатель,3,19,15.8%
2,8,родитель,2,22,9.1%
3,1,обличитель,1,1,100.0%
4,2,подражатель,1,2,50.0%
5,3,хранитель,1,2,50.0%
6,4,свѧтитель,1,3,33.3%
7,5,чиститель,1,4,25.0%
8,7,благодѣтель,1,8,12.5%
9,9,мѫчитель,1,20,5.0%
