Lemma,Number,Case,Form,Stemtype
кръвь,Singular,Nominative,кръвь҆,analogical
кръвь,Singular,Nominative,кръвь҆,analogical
кръвь,Singular,Nominative,кръвь҆,analogical
кръвь,Singular,Nominative,крьвь,analogical
кръвь,Singular,Nominative,крьвь҆,analogical
кръвь,Singular,Nominative,крь҆вь,analogical
кръвь,Singular,Nominative,крь҆вь҆,analogical
кръвь,Singular,Nominative,крь҆вь҆,analogical
кръвь,Singular,Nominative,крь҆вь҆,analogical
кръвь,Singular,Nominative,крь҆вь҆,analogical
кръвь,Singular,Nominative,крь҆вь҆,analogical
любꙑ,Singular,Nominative,любꙑ,etymological
любꙑ,Singular,Nominative,любꙑ,etymological
любꙑ,Singular,Nominative,любꙑ,etymological
любꙑ,Singular,Nominative,любꙑ,etymological
любꙑ,Singular,Nominative,любꙑ,etymological
неплодꙑ,Singular,Nominative,неплодꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
смокꙑ,Singular,Nominative,смокꙑ,etymological
црькꙑ,Singular,Nominative,цръкꙑ,etymological
црькꙑ,Singular,Nominative,цръкꙑ,etymological
црькꙑ,Singular,Nominative,цръкꙑ,etymological
црькꙑ,Singular,Nominative,цръкꙑ,etymological
црькꙑ,Singular,Nominative,цръкꙑ,etymological
црькꙑ,Singular,Nominative,црькꙑ,etymological
црькꙑ,Singular,Nominative,црь҆кꙑ,etymological
црькꙑ,Singular,Nominative,црь҆кꙑ,etymological
кръвь,Singular,Accusative,кръвь,ambiguous
кръвь,Singular,Accusative,кръвь҆,ambiguous
кръвь,Singular,Accusative,кръвь҆,ambiguous
кръвь,Singular,Accusative,крьвь,ambiguous
кръвь,Singular,Accusative,крьвь,ambiguous
кръвь,Singular,Accusative,крьвь,ambiguous
кръвь,Singular,Accusative,крьвь,ambiguous
кръвь,Singular,Accusative,крьвь,ambiguous
кръвь,Singular,Accusative,крьвь҆,ambiguous
кръвь,Singular,Accusative,крьвь҆,ambiguous
кръвь,Singular,Accusative,крь҆вь,ambiguous
кръвь,Singular,Accusative,крь҆вь,ambiguous
кръвь,Singular,Accusative,крь҆вь,ambiguous
кръвь,Singular,Accusative,крь҆вь҆,ambiguous
кръвь,Singular,Accusative,крь҆вь҆,ambiguous
кръвь,Singular,Accusative,крь҆вь҆,ambiguous
кръвь,Singular,Accusative,крь҆вь҆,ambiguous
любꙑ,Singular,Accusative,любьвь,ambiguous
црькꙑ,Singular,Accusative,црькъвь,ambiguous
црькꙑ,Singular,Accusative,црь҆къве,ambiguous
црькꙑ,Singular,Accusative,црь҆къвь҆,ambiguous
црькꙑ,Singular,Accusative,црь҆къвь҆,ambiguous
кръвь,Singular,Genitive,кръве,etymological
кръвь,Singular,Genitive,кръви,analogical
кръвь,Singular,Genitive,кръви,analogical
кръвь,Singular,Genitive,кръви,analogical
кръвь,Singular,Genitive,крьви,analogical
кръвь,Singular,Genitive,крьви,analogical
кръвь,Singular,Genitive,крь҆ви,analogical
кръвь,Singular,Genitive,крь҆ви,analogical
кръвь,Singular,Genitive,крь҆ви,analogical
любꙑ,Singular,Genitive,любьве,etymological
любꙑ,Singular,Genitive,любьве,etymological
любꙑ,Singular,Genitive,любьве,etymological
любꙑ,Singular,Genitive,любьве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
любꙑ,Singular,Genitive,любь҆ве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокве,etymological
смокꙑ,Singular,Genitive,смокви,analogical
смокꙑ,Singular,Genitive,смокви,analogical
смокꙑ,Singular,Genitive,смокъве,etymological
смокꙑ,Singular,Genitive,смокꙿве,etymological
смокꙑ,Singular,Genitive,смокꙿви,analogical
црькꙑ,Singular,Genitive,цръкве,etymological
црькꙑ,Singular,Genitive,цръкве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
црькꙑ,Singular,Genitive,цръкъве,etymological
