Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
027r,24,1,3,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
054r,2,1,7,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
063v,22,1,9,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,obl,ambiguous,
063v,30,1,9,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
092r,29,1,15,дьнь,Plural,Accusative,дьни,-p---ma--i,Nb,adv,ambiguous,
093v,15,1,16,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
103r,29,1,16,дьнь,Plural,Accusative,дьни,-p---ma--i,Nb,obl,ambiguous,
130v,23,2,23,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
174r,15,3,30,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
192v,14,3,33,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
195v,6,3,34,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
198v,4,3,35,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
221v,30,3,39,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
238r,25,3,41,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,obl,ambiguous,
239v,26,3,41,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,adv,ambiguous,
259v,21,3,46,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,adv,ambiguous,
260r,3,3,46,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obj,ambiguous,
260v,14,3,46,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,adv,ambiguous,
265v,8,3,46,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
269r,26,3,47,дьнь,Plural,Accusative,дꙿни,-p---ma--i,Nb,obl,ambiguous,
269v,19,3,47,дьнь,Plural,Accusative,дьни,-p---ma--i,Nb,obl,ambiguous,
271r,18,3,47,дьнь,Plural,Accusative,дьни,-p---ma--i,Nb,obl,ambiguous,
274r,24,3,48,дьнь,Plural,Accusative,дьни,-p---ma--i,Nb,adv,ambiguous,
274v,1,3,48,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
274v,26,3,48,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
277r,9,3,48,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
277r,15,3,48,дьнь,Plural,Accusative,дꙿни,-p---ma--i,Nb,obj,ambiguous,
278r,28,3,48,дьнь,Plural,Accusative,дꙿни,-p---ma--i,Nb,obj,ambiguous,
282v,26,3,48,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,adv,ambiguous,
284r,18,3,48,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,obl,ambiguous,
285v,16,3,48,дьнь,Plural,Accusative,дни,-p---ma--i,Nb,obl,ambiguous,
026v,29,1,3,имѧ,Plural,Accusative,и҅мена,-p---na--i,Nb,obj,etymological,
044v,10,1,6,имѧ,Plural,Accusative,и҅мена,-p---na--i,Nb,obj,etymological,
044v,13,1,6,имѧ,Plural,Accusative,и҅мена,-p---na--i,Nb,obj,etymological,
044v,16,1,6,имѧ,Plural,Accusative,и҅мена,-p---na--i,Nb,obj,etymological,
123v,9,2,21,писмѧ,Plural,Accusative,писмена,-p---na--i,Nb,obj,etymological,
202v,7,3,35,писмѧ,Plural,Accusative,писмена,-p---na--i,Nb,obj,etymological,
036v,16,1,5,дьнь,Plural,Dative,дь҆немь҆,-p---md--i,Nb,sub,ambiguous,
126v,23,2,22,дьнь,Plural,Dative,дь҆немь҆,-p---md--i,Nb,sub,ambiguous,
226v,17,3,40,дьнь,Plural,Dative,дьнемъ,-p---md--i,Nb,atr,ambiguous,
003v,26,1,1,дьнь,Plural,Genitive,дь҆ниї,-p---mg--i,Nb,part,analogical,
006r,25,1,1,дьнь,Plural,Genitive,дь҆ниї,-p---mg--i,Nb,part,analogical,
008r,2,1,1,дьнь,Plural,Genitive,дьниї,-p---mg--i,Nb,part,analogical,
008v,13,1,2,дьнь,Plural,Genitive,дь҆ниї,-p---mg--i,Nb,part,analogical,
009v,19,1,2,дьнь,Plural,Genitive,дь҆ниї,-p---mg--i,Nb,obl,analogical,
016r,9,1,3,дьнь,Plural,Genitive,дь҆ниї,-p---mg--i,Nb,obl,analogical,
042r,22,1,5,дьнь,Plural,Genitive,дьнь҆,-p---mg--i,Nb,obl,etymological,
047v,8,1,6,дьнь,Plural,Genitive,дь҆нии,-p---mg--i,Nb,part,analogical,
059r,22,1,7,дьнь,Plural,Genitive,дь҆нии҆,-p---mg--i,Nb,part,analogical,
074r,19,1,11,дьнь,Plural,Genitive,дь҆нии,-p---mg--i,Nb,part,analogical,
085v,16,1,13,дьнь,Plural,Genitive,дьнии,-p---mg--i,Nb,part,analogical,
085v,17,1,13,дьнь,Plural,Genitive,дь҆нии,-p---mg--i,Nb,obl,analogical,
086v,13,1,14,дьнь,Plural,Genitive,дьнии,-p---mg--i,Nb,obl,analogical,
087r,16,1,14,дьнь,Plural,Genitive,дьнии,-p---mg--i,Nb,obl,analogical,
109v,12,1,18,дьнь,Plural,Genitive,дьнии,-p---mg--i,Nb,obl,analogical,
111r,7,1,19,дьнь,Plural,Genitive,дьнии҆,-p---mg--i,Nb,part,analogical,
138r,10,3,24,дьнь,Plural,Genitive,дьниї,-p---mg--i,Nb,obl,analogical,
143r,7,3,25,дьнь,Plural,Genitive,дьнии҆,-p---mg--i,Nb,part,analogical,
145r,13,3,25,дьнь,Plural,Genitive,дь҆нии҆,-p---mg--i,Nb,obl,analogical,
150v,6,3,25,дьнь,Plural,Genitive,дьнии҆,-p---mg--i,Nb,obl,analogical,
151r,10,3,25,дьнь,Plural,Genitive,дь҆нии҆,-p---mg--i,Nb,part,analogical,
226v,8,3,40,дьнь,Plural,Genitive,дь҆нь,-p---mg--i,Nb,part,etymological,
226v,11,3,40,дьнь,Plural,Genitive,дьнии҆,-p---mg--i,Nb,part,analogical,
260v,1,3,46,дьнь,Plural,Genitive,днии҆,-p---mg--i,Nb,part,analogical,
274r,26,3,48,дьнь,Plural,Genitive,днии҆,-p---mg--i,Nb,part,analogical,
275r,17,3,48,дьнь,Plural,Genitive,дꙿниї,-p---mg--i,Nb,part,analogical,
275r,20,3,48,дьнь,Plural,Genitive,днии҆,-p---mg--i,Nb,part,analogical,
275v,22,3,48,дьнь,Plural,Genitive,дꙿнии,-p---mg--i,Nb,obl,analogical,
285v,5,3,48,дьнь,Plural,Genitive,дꙿнии҆,-p---mg--i,Nb,obl,analogical,
174r,5,3,30,имѧ,Plural,Genitive,и҅менъ,-p---ng--i,Nb,obj,etymological,
047v,10,1,6,дьнь,Plural,Instrumental,дьнь҆ми,-p---mi--i,Nb,adv,ambiguous,
162v,4,3,28,дьнь,Plural,Instrumental,дь҆нь҆ми,-p---mi--i,Nb,adv,ambiguous,
139r,13,3,24,степень,Plural,Instrumental,степень҆ми,-p---mi--i,Nb,adv,ambiguous,
012v,1,1,3,врѣмѧ,Plural,Locative,врѣменехъ,-p---nl--i,Nb,obl,ambiguous,
042v,7,1,6,врѣмѧ,Plural,Locative,врѣменехʼ,-p---nl--i,Nb,atr,ambiguous,
067v,13,1,9,врѣмѧ,Plural,Locative,врѣменехъ,-p---nl--i,Nb,obl,ambiguous,
276r,19,3,48,врѣмѧ,Plural,Locative,врѣменехъ,-p---nl--i,Nb,obl,ambiguous,
042r,1,1,5,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
099v,1,1,16,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
219v,28,3,38,дьнь,Plural,Locative,дьнехъ,-p---ml--i,Nb,obl,ambiguous,
220r,19,3,39,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
220v,1,3,39,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
220v,20,3,39,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
221r,29,3,39,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
222r,10,3,39,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
222r,27,3,39,дьнь,Plural,Locative,дьнехъ,-p---ml--i,Nb,obl,ambiguous,
222v,1,3,39,дьнь,Plural,Locative,дьнехъ,-p---ml--i,Nb,obl,ambiguous,
250r,14,3,44,дьнь,Plural,Locative,дь҆нехъ,-p---ml--i,Nb,obl,ambiguous,
266v,1,3,46,дьнь,Plural,Locative,дьнехъ,-p---ml--i,Nb,obl,ambiguous,
274v,24,3,48,дьнь,Plural,Locative,днехъ,-p---ml--i,Nb,obl,ambiguous,
215r,7,3,38,дьнь,Plural,Nominative,дь҆ниѥ,-p---mn--i,Nb,sub,analogical,
011r,14,1,2,имѧ,Plural,Nominative,и҅мена,-p---nn--i,Nb,sub,etymological,
035r,6,1,5,имѧ,Plural,Nominative,и҅мена,-p---nn--i,Nb,xobj,etymological,
128v,12,2,23,имѧ,Plural,Nominative,и҅мена,-p---nn--i,Nb,sub,etymological,
136r,5,3,23,имѧ,Plural,Nominative,и҅мена,-p---nn--i,Nb,sub,etymological,
254r,27,3,44,имѧ,Plural,Nominative,и҅мена,-p---nn--i,Nb,sub,etymological,
021r,5,1,3,брѣмѧ,Singular,Accusative,брѣмꙙ,-s---na--i,Nb,obj,etymological,
021r,10,1,3,брѣмѧ,Singular,Accusative,брѣмꙙ,-s---na--i,Nb,obj,etymological,
021r,14,1,3,брѣмѧ,Singular,Accusative,брѣмꙙ,-s---na--i,Nb,obl,etymological,
195v,10,3,34,брѣмѧ,Singular,Accusative,брѣмꙙ,-s---na--i,Nb,obj,etymological,
235r,12,3,40,брѣмѧ,Singular,Accusative,брѣмꙙ,-s---na--i,Nb,obj,etymological,
008r,19,1,2,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
022r,14,1,3,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
034v,3,1,4,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,adv,etymological,
039v,11,1,5,врѣмѧ,Singular,Accusative,врѢмꙙ,-s---na--i,Nb,obl,etymological,
073v,23,1,10,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
074r,9,1,11,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
074v,7,1,11,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
085v,14,1,13,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obj,etymological,
096r,1,1,16,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
099v,2,1,16,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
100v,2,1,16,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
104v,28,1,16,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
128r,10,2,23,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
133v,23,2,23,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
173r,28,3,30,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
176r,2,3,30,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
176v,5,3,30,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
176v,27,3,30,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
179v,23,3,31,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
195v,4,3,34,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
197v,23,3,34,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
204v,5,3,36,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obj,etymological,
206v,10,3,36,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
207r,13,3,36,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
212r,18,3,36,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
225v,14,3,40,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
248r,16,3,43,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
255r,4,3,45,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
263v,18,3,46,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obj,etymological,
264v,28,3,46,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obj,etymological,
273r,18,3,48,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
282v,1,3,48,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,adv,etymological,
285r,16,3,48,врѣмѧ,Singular,Accusative,врѣмꙙ,-s---na--i,Nb,obl,etymological,
006r,19,1,1,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
007v,8,1,1,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,obl,ambiguous,
008r,18,1,2,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,obl,ambiguous,
012r,28,1,3,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
013v,13,1,3,дьнь,Singular,Accusative,день,-s---ma--i,Nb,obj,ambiguous,
013v,22,1,3,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,obl,ambiguous,
016v,1,1,3,дьнь,Singular,Accusative,дьнъ,-s---ma--i,Nb,adv,ambiguous,
018r,6,1,3,дьнь,Singular,Accusative,день,-s---ma--i,Nb,obl,ambiguous,
034v,22,1,5,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
036v,4,1,5,дьнь,Singular,Accusative,день,-s---ma--i,Nb,adv,ambiguous,
036v,19,1,5,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,obl,ambiguous,
039v,1,1,5,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obl,ambiguous,
055r,22,1,7,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
061v,9,1,8,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,obl,ambiguous,
061v,17,1,8,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
062r,9,1,8,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obl,ambiguous,
064r,2,1,9,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
068v,14,1,9,дьнь,Singular,Accusative,день҆,-s---ma--i,Nb,adv,ambiguous,
074r,14,1,11,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
078v,22,1,11,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
080r,12,1,12,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
083r,3,1,12,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,adv,ambiguous,
086v,8,1,14,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
086v,15,1,14,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obl,ambiguous,
086v,26,1,14,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
089r,17,1,15,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
091v,24,1,15,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
092r,30,1,15,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obl,ambiguous,
098v,6,1,16,дьнь,Singular,Accusative,дь҆нь,-s---ma--i,Nb,adv,ambiguous,
098v,11,1,16,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obj,ambiguous,
111r,5,1,19,дьнь,Singular,Accusative,дь҆нь,-s---ma--i,Nb,obl,ambiguous,
113v,9,1,19,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
117v,4,1,19,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
138r,2,3,24,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,adv,ambiguous,
140r,1,3,25,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
144v,10,3,25,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
145v,5,3,25,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obj,ambiguous,
146r,13,3,25,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,adv,ambiguous,
146v,28,3,25,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,adv,ambiguous,
166v,5,3,28,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
179r,21,3,31,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
179r,25,3,31,дьнь,Singular,Accusative,дь҆нь,-s---ma--i,Nb,obl,ambiguous,
179v,16,3,31,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,adv,ambiguous,
193v,16,3,33,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obj,ambiguous,
198v,13,3,35,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
198v,15,3,35,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
203v,28,3,36,дьнь,Singular,Accusative,дьнꙿ,-s---ma--i,Nb,obj,ambiguous,
206v,19,3,36,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,adv,ambiguous,
211v,23,3,36,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
214v,22,3,38,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
215r,9,3,38,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
215v,22,3,38,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obj,ambiguous,
215v,23,3,38,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obj,ambiguous,
216v,5,3,38,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obj,ambiguous,
223v,24,3,39,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obl,ambiguous,
235r,17,3,40,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
235r,18,3,40,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
236r,18,3,41,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
236v,19,3,41,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
236v,23,3,41,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
244r,13,3,43,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
253r,8,3,44,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,adv,ambiguous,
255v,9,3,45,дьнь,Singular,Accusative,дьнь,-s---ma--i,Nb,obj,ambiguous,
266v,20,3,47,дьнь,Singular,Accusative,дꙿнь,-s---ma--i,Nb,obl,ambiguous,
269v,5,3,47,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
269v,29,3,47,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
274r,8,3,48,дьнь,Singular,Accusative,дь҆нь,-s---ma--i,Nb,obl,ambiguous,
274v,10,3,48,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,adv,ambiguous,
274v,10,3,48,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
275v,21,3,48,дьнь,Singular,Accusative,дь҆нь,-s---ma--i,Nb,adv,ambiguous,
276v,26,3,48,дьнь,Singular,Accusative,дь҆нь҆,-s---ma--i,Nb,obl,ambiguous,
277r,10,3,48,дьнь,Singular,Accusative,дь҆,-s---ma--i,Nb,obl,ambiguous,
284v,8,3,48,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,obl,ambiguous,
072v,15,1,9,дьнь,Singular,Accusative,дьнь҆,-s---ma--i,Nb,adv,ambiguous,
002r,6,1,1,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
002r,30,1,1,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
003r,6,1,1,имѧ,Singular,Accusative,имꙙ,-s---na--i,Nb,obj,etymological,
008v,1,1,2,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
011r,7,1,2,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
012r,13,1,2,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obl,etymological,
012v,26,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
020v,7,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
020v,13,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
022r,7,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,apos,etymological,
022v,14,1,3,имѧ,Singular,Accusative,и҅мꙙ,-s---na--i,Nb,obj,etymological,
