folio,line,book,chapter,form,bform,lemma,stem,stemtype,pos,morph,number,case,rel,after
243v,22,3,43,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
243v,26,3,43,дь҆нь҆,,дьнь,n stem,etymological,Nb,-s---mn--i,-,m,apos,
244r,04,3,43,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
244r,08,3,43,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
244r,11,3,43,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
244r,13,3,43,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
244r,15,3,43,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,
248r,16,3,43,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
250r,14,3,44,дь҆нехъ,,дьнь,n stem,analogical,Nb,-p---ml--i,-,m,obl,
252r,16,3,44,дни,,дьнь,n stem,analogical,Nb,-s---ml--i,-,m,obl,
252r,28,3,44,сѣмене,,сѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,· 
253r,08,3,44,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,· 
254r,27,3,44,и҅мена,,имѧ,n stem,etymological,Nb,-p---nn--i,-,nom,sub,· 
255r,03,3,45,дь҆нꙿ,,дьнь,n stem,etymological,Nb,-s---mn--i,-,m,sub,
255r,04,3,45,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
255r,24,3,45,дь҆ни,,дьнь,n stem,,Nb,-s---mg--i,-,m,adv,
255v,09,3,45,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obj,
257v,08,3,46,и҅менемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
257v,13,3,46,їменемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,· 
259v,04,3,46,врѣмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,obl,
259v,21,3,46,дни,,дьнь,n stem,,Nb,-p---ma--i,-,m,adv,
260r,03,3,46,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obj,
260r,04,3,46,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,
260r,06,3,46,дь҆ни,,дьнь,n stem,,Nb,-s---md--i,-,m,atr,
260r,20,3,46,и҅менемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,
260v,01,3,46,днии҆,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,· 
260v,02,3,46,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
260v,07,3,46,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
260v,14,3,46,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,adv,· 
261v,08,3,46,камꙑ,,камꙑ,n stem,analogical,Nb,-s---ma--i,-,m,obl,
262r,26,3,46,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
263r,24,3,46,дьни,,дьнь,n stem,,Nb,-d---ma--i,-,m,obl,· 
263v,18,3,46,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
264v,28,3,46,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
265v,08,3,46,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
266r,06,3,46,дꙿне,,дьнь,n stem,,Nb,-s---mg--i,-,m,obl,
266r,07,3,46,дни,,дьнь,n stem,,Nb,-s---md--i,-,m,narg,
266r,16,3,46,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
266v,01,3,46,дьнехъ,,дьнь,n stem,analogical,Nb,-p---ml--i,-,m,obl,
266v,11,3,46,дь҆не,,дьнь,n stem,,Nb,-s---mg--i,-,m,obl,
266v,20,3,47,дꙿнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
266v,25,3,47,и҅мене,,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,narg,
267v,23,3,47,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,
268r,08,3,47,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
268v,17,3,47,дь҆ни,,дьнь,n stem,,Nb,-s---md--i,-,m,sub,
269r,01,3,47,камꙑ,,камꙑ,n stem,analogical,Nb,-s---ma--i,-,m,obj,· 
269r,26,3,47,дꙿни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,· 
269v,05,3,47,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
269v,19,3,47,дьни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,· 
269v,29,3,47,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
269v,30,3,47,врѣмени,,врѣмѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,· 
270r,02,3,47,и҅менемъ,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,· 
270r,13,3,47,врѣмени,,врѣмѧ,n stem,analogical,Nb,-s---nl--i,-,nom,obl,
270r,15,3,47,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
270r,27,3,47,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
270v,22,3,47,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
271r,18,3,47,дьни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
272r,13,3,48,днъ,,дьнь,n stem,etymological,Nb,-s---mn--i,-,m,sub,
273r,18,3,48,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
274r,08,3,48,дь҆нь,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
274r,10,3,48,брѣмене,,брѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obj,
274r,15,3,48,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,· 
274r,24,3,48,дьни,,дьнь,n stem,,Nb,-p---ma--i,-,m,adv,
274r,26,3,48,днии҆,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,· 
274v,01,3,48,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,· 
274v,10,3,48,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
274v,10,3,48,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,· 
274v,24,3,48,днехъ,,дьнь,n stem,analogical,Nb,-p---ml--i,-,m,obl,
274v,25,3,48,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
274v,26,3,48,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
275r,13,3,48,и҅мени,,имѧ,n stem,analogical,Nb,-s---ng--i,-,nom,atr,
275r,17,3,48,дꙿниї,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,· 
275r,20,3,48,днии҆,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,· 
275r,30,3,48,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
275v,21,3,48,дь҆нь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,· 
275v,22,3,48,дꙿнии,,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,· 
276r,19,3,48,врѣменехъ,,врѣмѧ,n stem,analogical,Nb,-p---nl--i,-,nom,obl,· 
276v,19,3,48,и҅менемꙿ,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
276v,26,3,48,дь҆нь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
277r,09,3,48,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,· 
277r,10,3,48,дь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
277r,15,3,48,дꙿни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obj,
278r,11,3,48,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
278r,27,3,48,и҅менемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
278r,28,3,48,дꙿни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obj,
278v,02,3,48,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
278v,29,3,48,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,
279r,03,3,48,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
279r,15,3,48,брѣмена,,брѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obj,· 
280v,26,3,48,дьне,,дьнь,n stem,,Nb,-s---mg--i,-,m,obl,· 
280v,28,3,48,Врѣмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,sub,
281r,23,3,48,дꙿни,,дьнь,n stem,,Nb,-s---md--i,-,m,obl,· 
282v,01,3,48,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,adv,
282v,26,3,48,дь҆ни,,дьнь,n stem,,Nb,-p---ma--i,-,m,adv,· 
283r,08,3,48,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,· 
283r,28,3,48,пламени,,пламꙑ,n stem,analogical,Nb,-s---ml--i,-,m,obl,
283r,29,3,48,пламꙑ,,пламꙑ,n stem,etymological,Nb,-s---mn--i,-,m,obj,
283v,20,3,48,племени,,племѧ,n stem,etymological,Nb,-s---nd--i,-,nom,atr,
284r,18,3,48,дни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
284v,08,3,48,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
284v,09,3,48,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---nn--i,-,nom,xobj,
285r,09,3,48,врѣмена,,врѣмѧ,n stem,etymological,Nb,-p---na--i,-,nom,obl,
285r,16,3,48,врѣмꙙ,,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
285r,20,3,48,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
285v,05,3,48,дꙿнии҆,,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,
285v,16,3,48,дни,,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,· 
069v,17,1,9,и҅менемь҆,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,adv,
071r,13,1,9,и҅мꙙ,,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
072r,18,1,9,пламени,,пламꙑ,n stem,etymological,Nb,-s---md--i,-,m,sub,
072v,15,1,9,дьнь҆,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
